No,Provinsi Asal,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
1,Aceh,6436,4318,182,131,226,1,0.67,0.04,0.50,0,0,2742,189,2553,415,93,512886
2,Bali,10697,9505,92,99,343,2,0.89,0.03,0.00,0,0,0,0,0,0,200,484717
3,Banten,7593,5735,127,114,226,7,0.76,0.03,2.67,26179,22679,748,13,735,188,130,527830
4,Bangka Belitung,499,430,11,12,6,0,0.86,0.01,3.86,5459,5103,0,0,0,1886,80,526431
5,Bengkulu,862,701,23,2,43,3,0.81,0.05,3.40,0,0,2851,0,0,0,72,453502
6,DI Yogyakarta,3285,2551,24,48,85,0,0.78,0.03,4.47,0,0,1507,70,1421,212,92,421650
7,DKI Jakarta,93356,77969,974,1106,2015,21,0.84,0.02,1.76,262702,237573,0,0,0,0,100,506010
8,Jambi,968,368,26,27,18,0,0.38,0.02,3.46,0,0,0,0,0,0,244,433843
9,Jawa Barat,30043,19924,500,440,559,0,0.66,0.02,2.77,72119,61684,0,0,0,0,91,732570
10,Jawa Tengah,28723,22980,416,320,1579,10,0.80,0.06,1.46,52084,,13457,770,12672,3781,267,595249
11,Jawa Timur,48690,42455,238,323,3529,13,0.87,0.07,0.96,385352,284304,0,0,0,0,15900,0
12,Kalimantan Barat,1413,1224,31,35,9,0,0.87,0.01,13.13,6,6,17235,0,0,913,1394,404091
13,Kalimantan Timur,11503,8541,197,272,435,1,0.74,0.04,5.79,0,0,0,0,0,0,1058,388796
14,Kalimantan Tengah,4081,3437,36,32,145,0,0.84,0.04,1.19,0,0,0,0,0,0,1227,403173
15,Kalimantan Selatan,11400,9984,71,66,451,2,0.88,0.04,0.54,0,0,5091,1279,3936,987,831,402503
16,Kalimantan Utara,691,597,4,4,5,0,0.86,0.01,5.41,0,0,0,0,0,0,1338,460721
17,Kepulauan Riau,2768,2246,0,0,68,0,0.81,0.03,0.00,0,0,0,0,0,0,750,401291
18,Nusa Tenggara Barat,3673,2994,27,24,209,1,0.82,0.06,3.28,28719,26008,0,0,0,0,273,393218
19,Sumatera Selatan,7104,5381,46,47,387,0,0.76,0.05,2.98,0,0,0,0,0,0,112,376212
20,Sumatera Barat,10700,5756,450,256,187,2,0.54,0.02,1.18,0,0,10210,218,9992,1466,34,456192
21,Sulawesi Utara,4959,4142,29,32,185,0,0.84,0.04,0.31,0,0,0,0,0,0,18,492603
22,Sumatera Utara,11861,9497,86,100,497,5,0.80,0.04,0.00,0,0,0,0,0,0,110,490254
23,Sulawesi Tenggara,4023,2517,73,10,71,0,0.63,0.02,3.36,5437,3983,13047,115,12932,214,29,652620
24,Sulawesi Selatan,17352,14828,66,173,444,2,0.86,0.03,0.67,0,0,0,0,0,0,10,632586
25,Sulawesi Tengah,668,436,51,23,25,0,0.65,0.04,3.16,2422,1780,1791,670,1121,232,181,385957
26,Lampung,1285,869,35,20,48,1,0.68,0.04,3.05,0,0,0,0,0,0,49,467770
27,Riau,11358,6823,256,118,259,8,0.60,0.02,8.95,0,0,96844,4519,92325,2508,189,339743
28,Maluku Utara,2120,1906,0,0,74,0,0.90,0.04,0.69,4526,0,788,41,747,674,71,350019
29,Maluku,3521,2651,42,109,42,0,0.75,0.01,0.19,0,0,646,463,0,0,107,366811
30,Papua Barat,3465,2504,112,60,46,1,0.72,0.01,0.77,12848,2406,0,0,0,0,82,349695
31,Papua,8168,4438,69,18,117,4,0.54,0.01,2.14,0,0,15693,1559,14134,2047,38,552090
32,Sulawesi Barat,949,704,5,4,12,0,0.74,0.01,2.26,2599,2209,1978,107,1868,152,39,452080
33,Nusa Tenggara Timur,584,406,2,6,7,0,0.70,0.01,4.12,5096,4259,0,0,0,0,9,596286
34,Gorontalo,2964,2775,0,17,79,0,0.94,0.03,1.51,8780,7852,0,0,0,0,11,542695
